,Item,Area,Rate,Desc
0,Gold,Pakistan,Rs. 354800.00,Pakistan 24 Karat Gold Rate per Tola
1,Gold,KHI,Rs. 354800,24 Karat Gold Rate per Tola
2,Gold,LHR,Rs. 354850,24 Karat Gold Rate per Tola
3,Gold,ISB,Rs. 354900,24 Karat Gold Rate per Tola
4,Gold,UET,Rs. 355000,24 Karat Gold Rate per Tola
5,Gold,PEW,Rs. 354950,24 Karat Gold Rate per Tola
6,Gold,RWP,Rs. 354950,24 Karat Gold Rate per Tola
7,Gold,FSD,Rs. 354900,24 Karat Gold Rate per Tola
8,Gold,HYD,Rs. 354950,24 Karat Gold Rate per Tola
9,Gold,SKT,Rs. 355000,24 Karat Gold Rate per Tola
10,Gold,SUK,Rs. 355100,24 Karat Gold Rate per Tola
11,Gold,GIL,Rs. 355150,24 Karat Gold Rate per Tola
12,Gold,KDU,Rs. 355200,24 Karat Gold Rate per Tola
13,Gold,AJK,Rs. 355100,24 Karat Gold Rate per Tola
14,Gold,GRW,Rs. 355100,24 Karat Gold Rate per Tola
15,Gold,MUL,Rs. 355050,24 Karat Gold Rate per Tola
16,Gold,MFG,Rs. 355100,24 Karat Gold Rate per Tola
17,Silver,Pakistan,Rs. 3908.00,Pakistan 24 Karat Silver Rate per Tola
