,Item,Price,url
0,Men's Everyday Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
1,Men's Lightweight Sandal,"Rs.1,999.00",https://www.servis.pk/collections/men
2,Men's Everyday Chappal,"Rs.4,499.00",https://www.servis.pk/collections/men
3,Men's Everyday Chappal,"Rs.4,499.00",https://www.servis.pk/collections/men
4,Men's Stylish Sandals,"Rs.2,499.00",https://www.servis.pk/collections/men
5,Men's Everyday Chappal,"Rs.3,999.00",https://www.servis.pk/collections/men
6,Men's Everyday Chappal,"Rs.3,999.00",https://www.servis.pk/collections/men
7,Men's Breathable Chappal,"Rs.4,199.00",https://www.servis.pk/collections/men
8,Men's Breathable Chappal,"Rs.4,199.00",https://www.servis.pk/collections/men
9,Men's Ultra Soft Sandals,"Rs.3,499.00",https://www.servis.pk/collections/men
10,Men's lace-up shoes,"Rs.13,999.00",https://www.servis.pk/collections/men
11,Comfortable Sandals For Men,"Rs.7,999.00",https://www.servis.pk/collections/men
12,Comfortable Sandals For Men,"Rs.6,999.00",https://www.servis.pk/collections/men
13,Comfortable Sandals For Men,"Rs.6,999.00",https://www.servis.pk/collections/men
14,Men's Comfortable Chappal,"Rs.7,499.00",https://www.servis.pk/collections/men
15,Men's Comfortable Chappal,"Rs.7,499.00",https://www.servis.pk/collections/men
16,Men's Comfortable Flats,"Rs.6,499.00",https://www.servis.pk/collections/men
17,Men's Comfortable Flats,"Rs.6,499.00",https://www.servis.pk/collections/men
18,Men's Comfortable Flats,"Rs.6,499.00",https://www.servis.pk/collections/men
19,Men's Comfortable Flats,"Rs.6,499.00",https://www.servis.pk/collections/men
20,Men Moccs,"Rs.7,999.00",https://www.servis.pk/collections/men
21,Men Moccs,"Rs.7,999.00",https://www.servis.pk/collections/men
22,Formal Shoes,"Rs.13,999.00",https://www.servis.pk/collections/men
23,Formal Shoes,"Rs.13,999.00",https://www.servis.pk/collections/men
24,Formal Shoes,"Rs.13,999.00",https://www.servis.pk/collections/men
25,Formal Shoes,"Rs.13,999.00",https://www.servis.pk/collections/men
26,Formal Shoes,"Rs.8,999.00",https://www.servis.pk/collections/men
27,Formal Shoes,"Rs.8,999.00",https://www.servis.pk/collections/men
28,Men Moccs,"Rs.7,499.00",https://www.servis.pk/collections/men
29,Men Moccs,"Rs.7,499.00",https://www.servis.pk/collections/men
30,Men Moccs,"Rs.7,499.00",https://www.servis.pk/collections/men
31,Men Moccs,"Rs.7,499.00",https://www.servis.pk/collections/men
