2025-07-23 15:56:16 UTC | DEBUG    | parallel_pipeline | Logger 'parallel_pipeline' initialized with rotating file handler (max_size=10.0MB, backup_count=5, timezone=UTC)
2025-07-23 15:56:38 UTC | INFO     | parallel_pipeline | Starting database insertion for scripts\books.py with status Failed
2025-07-23 15:56:38 UTC | INFO     | parallel_pipeline | Successfully inserted status into status table with status_id: 103
2025-07-23 15:56:38 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\books.py: SELENIUM LOG - Traceback (most recent call last):
  File "D:\hassan\SBP Work\Digital CPI\Work\Scraping\Final Soluti...
2025-07-23 15:56:38 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:56:38 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\books.py: SELENIUM LOG - selenium.common.exceptions.WebDriverException: Message: unknown error: net::ERR_NAME_NOT_RESOLVED...
2025-07-23 15:56:38 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:56:38 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\books.py: SELENIUM LOG -   (Session info: chrome=135.0.7049.97)...
2025-07-23 15:56:38 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:56:38 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\books.py: SELENIUM LOG - Stacktrace:
	GetHandleVerifier [0x00007FF662235305+78597]
	GetHandleVerifier [0x00007FF662235360+786...
2025-07-23 15:56:38 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:56:38 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\books.py: ERROR - Error - books.py exited with code 1, marking as final failure (no retry)....
2025-07-23 15:56:38 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:56:38 UTC | INFO     | parallel_pipeline | Completed database operations for scripts\books.py
2025-07-23 15:57:12 UTC | INFO     | parallel_pipeline | Starting database insertion for scripts\foodpanda.py with status Failed
2025-07-23 15:57:12 UTC | INFO     | parallel_pipeline | Successfully inserted status into status table with status_id: 104
2025-07-23 15:57:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: SELENIUM LOG - Traceback (most recent call last):
  File "D:\hassan\SBP Work\Digital CPI\Work\Scraping\Final Soluti...
2025-07-23 15:57:12 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:57:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: SELENIUM LOG - selenium.common.exceptions.TimeoutException: Message: ...
2025-07-23 15:57:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:57:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: SELENIUM LOG - Stacktrace:
	GetHandleVerifier [0x00007FF662235305+78597]
	GetHandleVerifier [0x00007FF662235360+786...
2025-07-23 15:57:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:57:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: ERROR - Transient failure detected while processing scripts\foodpanda.py: RuntimeError('Transient subprocess...
2025-07-23 15:57:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:57:13 UTC | INFO     | parallel_pipeline | Completed database operations for scripts\foodpanda.py
2025-07-23 15:58:27 UTC | INFO     | parallel_pipeline | Starting database insertion for scripts\foodpanda.py with status Failed
2025-07-23 15:58:27 UTC | INFO     | parallel_pipeline | Successfully inserted status into status table with status_id: 104
2025-07-23 15:58:27 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: SELENIUM LOG - Traceback (most recent call last):
  File "D:\hassan\SBP Work\Digital CPI\Work\Scraping\Final Soluti...
2025-07-23 15:58:27 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:58:27 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: SELENIUM LOG - selenium.common.exceptions.TimeoutException: Message: ...
2025-07-23 15:58:27 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:58:27 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: SELENIUM LOG - Stacktrace:
	GetHandleVerifier [0x00007FF662235305+78597]
	GetHandleVerifier [0x00007FF662235360+786...
2025-07-23 15:58:27 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:58:27 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: ERROR - Transient failure detected while processing scripts\foodpanda.py: RuntimeError('Transient subprocess...
2025-07-23 15:58:27 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 15:58:27 UTC | INFO     | parallel_pipeline | Completed database operations for scripts\foodpanda.py
2025-07-23 16:00:14 UTC | INFO     | parallel_pipeline | Starting database insertion for scripts\foodpanda.py with status Failed
2025-07-23 16:00:14 UTC | INFO     | parallel_pipeline | Successfully inserted status into status table with status_id: 104
2025-07-23 16:00:14 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: SELENIUM LOG - Traceback (most recent call last):
  File "D:\hassan\SBP Work\Digital CPI\Work\Scraping\Final Soluti...
2025-07-23 16:00:14 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:00:14 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: SELENIUM LOG - selenium.common.exceptions.TimeoutException: Message: ...
2025-07-23 16:00:14 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:00:14 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: SELENIUM LOG - Stacktrace:
	GetHandleVerifier [0x00007FF662235305+78597]
	GetHandleVerifier [0x00007FF662235360+786...
2025-07-23 16:00:14 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:00:14 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\foodpanda.py: ERROR - Error - Maximum retries exhausted....
2025-07-23 16:00:14 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:00:14 UTC | INFO     | parallel_pipeline | Completed database operations for scripts\foodpanda.py
2025-07-23 16:14:10 UTC | DEBUG    | parallel_pipeline | Reading output file from path: data\2025-07-23\sastaticket.csv
2025-07-23 16:14:11 UTC | INFO     | parallel_pipeline | Total rows scraped: 0, Upper bound for file: 120, Lower bound for file: 80
2025-07-23 16:14:11 UTC | DEBUG    | parallel_pipeline | Deleting following output file for Failed task: data\2025-07-23\sastaticket.csv
2025-07-23 16:14:12 UTC | INFO     | parallel_pipeline | Starting database insertion for scripts\sastaticket.py with status Failed
2025-07-23 16:14:12 UTC | INFO     | parallel_pipeline | Successfully inserted status into status table with status_id: 105
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-07-28 00:00:00...
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-08-06 00:00:00...
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-07-28 00:00:00...
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-07-28 00:00:00...
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-08-01 00:00:00...
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-08-06 00:00:00...
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-07-28 00:00:00...
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-08-01 00:00:00...
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-08-06 00:00:00...
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-07-29 00:00:00...
2025-07-23 16:14:12 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
